Block     Tag            LRU       Data
155       0x155247         22        0x176
156       0x155247         22        0x176
157       0x155247         22        0x176
158       0x155247         22        0x176
159       0x155247         22        0x176
160       0x155247         22        0x176
161       0x155247         22        0x176
162       0x155247         22        0x176
163       0x155247         22        0x176
164       0x155247         22        0x176
165       0x155247         22        0x176
166       0x155247         22        0x176
167       0x155247         22        0x176
168       0x155247         22        0x176
169       0x155247         22        0x176
170       0x155247         22        0x176
171       0x155247         22        0x176
172       0x155247         22        0x176
173       0x155247         22        0x176
174       0x155247         22        0x176
175       0x155247         22        0x176
176       0x155247         22        0x176
177       0x155247         22        0x176
178       0x155247         22        0x176
179       0x155247         22        0x176
180       0x155247         22        0x176
181       0x155247         22        0x176
182       0x155247         22        0x176
183       0x155247         22        0x176
184       0x155247         22        0x176
185       0x155247         22        0x176
186       0x155247         22        0x176
187       0x155247         22        0x176
188       0x155247         22        0x176
189       0x155247         22        0x176
190       0x155247         22        0x176
191       0x155247         22        0x176
192       0x155247         22        0x176
193       0x155247         22        0x176
194       0x155247         22        0x176
195       0x155247         22        0x176
196       0x155247         22        0x176
197       0x155247         22        0x176
198       0x155247         22        0x176
199       0x155247         22        0x176
200       0x155247         22        0x176
201       0x155247         22        0x176
202       0x155247         22        0x176
203       0x155247         22        0x176
204       0x155247         22        0x176
205       0x155247         22        0x176
206       0x155247         22        0x176
207       0x155247         22        0x176
208       0x155247         22        0x176
209       0x155247         22        0x176
210       0x155247         22        0x176
211       0x155247         22        0x176
212       0x155247         22        0x176
213       0x155247         22        0x176
214       0x155247         22        0x176
215       0x155247         22        0x176
216       0x155247         22        0x176
217       0x155247         22        0x176
218       0x155247         22        0x176
219       0x155247         22        0x176
220       0x155247         22        0x176
221       0x155247         22        0x176
222       0x155247         22        0x176
223       0x155247         22        0x176
224       0x155247         22        0x176
225       0x155247         22        0x176
226       0x155247         22        0x176
227       0x155247         22        0x176
228       0x155247         22        0x176
229       0x155247         22        0x176
230       0x155247         22        0x176
231       0x155247         22        0x176
232       0x155247         22        0x176
233       0x155247         22        0x176
234       0x155247         22        0x176
235       0x155247         22        0x176
236       0x155247         22        0x176
237       0x155247         22        0x176
238       0x155247         22        0x176
239       0x155247         22        0x176
240       0x155247         22        0x176
241       0x155247         22        0x176
242       0x155247         22        0x176
243       0x155247         22        0x176
244       0x155247         22        0x176
245       0x155247         22        0x176
246       0x155247         22        0x176
247       0x155247         22        0x176
248       0x155247         22        0x176
249       0x155247         22        0x176
250       0x155247         22        0x176
251       0x155247         22        0x176
252       0x155247         22        0x176
253       0x155247         22        0x176
254       0x155247         22        0x176
255       0x155247         22        0x176
256       0x155247         22        0x176
257       0x155247         22        0x176
258       0x155247         22        0x176
259       0x155247         22        0x176
260       0x155247         22        0x176
261       0x155247         22        0x176
262       0x155247         22        0x176
263       0x155247         22        0x176
264       0x155247         22        0x176
265       0x155247         22        0x176
266       0x155247         22        0x176
267       0x155247         22        0x176
268       0x155247         22        0x176
269       0x155247         22        0x176
270       0x155247         22        0x176
271       0x155247         22        0x176
272       0x155247         22        0x176
273       0x155247         22        0x176
274       0x155247         22        0x176
275       0x155247         22        0x176
276       0x155247         22        0x176
277       0x155247         22        0x176
278       0x155247         22        0x176
279       0x155247         22        0x176
280       0x155247         22        0x176
281       0x155247         22        0x176
282       0x155247         22        0x176
283       0x155247         22        0x176
284       0x155247         22        0x176
285       0x155247         22        0x176
286       0x155247         22        0x176
287       0x155247         22        0x176
288       0x155247         22        0x176
289       0x155247         22        0x176
290       0x155247         22        0x176
291       0x155247         22        0x176
292       0x155247         22        0x176
293       0x155247         22        0x176
294       0x155247         22        0x176
295       0x155247         22        0x176
296       0x155247         22        0x176
297       0x155247         22        0x176
298       0x155247         22        0x176
299       0x155247         22        0x176
300       0x155247         22        0x176
301       0x155247         22        0x176
302       0x155247         22        0x176
303       0x155247         22        0x176
304       0x155247         22        0x176
305       0x155247         22        0x176
306       0x155247         22        0x176
307       0x155247         22        0x176
308       0x155247         22        0x176
309       0x155247         22        0x176
310       0x155247         22        0x176
311       0x155247         22        0x176
312       0x155247         22        0x176
313       0x155247         22        0x176
314       0x155247         22        0x176
315       0x155247         22        0x176
316       0x155247         22        0x176
317       0x155247         22        0x176
318       0x155247         22        0x176
319       0x155247         22        0x176
320       0x155247         22        0x176
321       0x155247         22        0x176
322       0x155247         22        0x176
323       0x155247         22        0x176
324       0x155247         22        0x176
325       0x155247         22        0x176
326       0x155247         22        0x176
327       0x155247         22        0x176
328       0x155247         22        0x176
329       0x155247         22        0x176
330       0x155247         22        0x176
331       0x155247         22        0x176
332       0x155247         22        0x176
333       0x155247         22        0x176
334       0x155247         22        0x176
335       0x155247         22        0x176
336       0x155247         22        0x176
337       0x155247         22        0x176
338       0x155247         22        0x176
339       0x155247         22        0x176
340       0x155247         22        0x176
341       0x155247         22        0x176
342       0x155247         22        0x176
343       0x155247         22        0x176
344       0x155247         22        0x176
345       0x155247         22        0x176
346       0x155247         22        0x176
347       0x155247         22        0x176
348       0x155247         22        0x176
349       0x155247         22        0x176
350       0x155247         22        0x176
351       0x155247         22        0x176
352       0x155247         22        0x176
353       0x155247         22        0x176
354       0x155247         22        0x176
355       0x155247         22        0x176
356       0x155247         22        0x176
357       0x155247         22        0x176
358       0x155247         22        0x176
359       0x155247         22        0x176
360       0x155247         22        0x176
361       0x155247         22        0x176
362       0x155247         22        0x176
363       0x155247         22        0x176
364       0x155247         22        0x176
365       0x155247         22        0x176
366       0x155247         22        0x176
367       0x155247         22        0x176
368       0x155247         22        0x176
369       0x155247         22        0x176
370       0x155247         22        0x176
371       0x155247         22        0x176
372       0x155247         22        0x176
373       0x155247         22        0x176
374       0x155247         22        0x176
375       0x155247         22        0x176
376       0x155247         22        0x176
377       0x155247         22        0x176
378       0x155247         22        0x176
379       0x155247         22        0x176
380       0x155247         22        0x176
381       0x155247         22        0x176
382       0x155247         22        0x176
383       0x155247         22        0x176
384       0x155247         22        0x176
385       0x155247         22        0x176
386       0x155247         22        0x176
387       0x155247         22        0x176
388       0x155247         22        0x176
389       0x155247         22        0x176
390       0x155247         22        0x176
391       0x155247         22        0x176
392       0x155247         22        0x176
393       0x155247         22        0x176
394       0x155247         22        0x176
395       0x155247         22        0x176
396       0x155247         22        0x176
397       0x155247         22        0x176
398       0x155247         22        0x176
399       0x155247         22        0x176
400       0x155247         22        0x176
401       0x155247         22        0x176
402       0x155247         22        0x176
403       0x155247         22        0x176
404       0x155247         22        0x176
405       0x155247         22        0x176
406       0x155247         22        0x176
407       0x155247         22        0x176
408       0x155247         22        0x176
409       0x155247         22        0x176
410       0x155247         22        0x176
411       0x155247         22        0x176
412       0x155247         22        0x176
413       0x155247         22        0x176
414       0x155247         22        0x176
415       0x155247         22        0x176
416       0x155247         22        0x176
417       0x155247         22        0x176
418       0x155247         22        0x176
419       0x155247         22        0x176
420       0x155247         22        0x176
421       0x155247         22        0x176
422       0x155247         22        0x176
423       0x155247         22        0x176
424       0x155247         22        0x176
425       0x155247         22        0x176
426       0x155247         22        0x176
427       0x155247         22        0x176
428       0x155247         22        0x176
429       0x155247         22        0x176
430       0x155247         22        0x176
431       0x155247         22        0x176
432       0x155247         22        0x176
433       0x155247         22        0x176
434       0x155247         22        0x176
435       0x155247         22        0x176
436       0x155247         22        0x176
437       0x155247         22        0x176
438       0x155247         22        0x176
439       0x155247         22        0x176
440       0x155247         22        0x176
441       0x155247         22        0x176
442       0x155247         22        0x176
443       0x155247         22        0x176
444       0x155247         22        0x176
445       0x155247         22        0x176
446       0x155247         22        0x176
447       0x155247         22        0x176
448       0x155247         22        0x176
449       0x155247         22        0x176
450       0x155247         22        0x176
451       0x155247         22        0x176
452       0x155247         22        0x176
453       0x155247         22        0x176
454       0x155247         22        0x176
455       0x155247         22        0x176
456       0x155247         22        0x176
457       0x155247         22        0x176
458       0x155247         22        0x176
459       0x155247         22        0x176
460       0x155247         22        0x176
461       0x155247         22        0x176
462       0x155247         22        0x176
463       0x155247         22        0x176
464       0x155247         22        0x176
465       0x155247         22        0x176
466       0x155247         22        0x176
467       0x155247         22        0x176
468       0x155247         22        0x176
469       0x155247         22        0x176
470       0x155247         22        0x176
471       0x155247         22        0x176
472       0x155247         22        0x176
473       0x155247         22        0x176
474       0x155247         22        0x176
475       0x155247         22        0x176
476       0x155247         22        0x176
477       0x155247         22        0x176
478       0x155247         22        0x176
479       0x155247         22        0x176
480       0x155247         22        0x176
481       0x155247         22        0x176
482       0x155247         22        0x176
483       0x155247         22        0x176
484       0x155247         22        0x176
485       0x155247         22        0x176
486       0x155247         22        0x176
487       0x155247         22        0x176
488       0x155247         22        0x176
489       0x155247         22        0x176
490       0x155247         22        0x176
491       0x155247         22        0x176
492       0x155247         22        0x176
493       0x155247         22        0x176
494       0x155247         22        0x176
495       0x155247         22        0x176
496       0x155247         22        0x176
497       0x155247         22        0x176
498       0x155247         22        0x176
499       0x155247         22        0x176
500       0x155247         22        0x176
501       0x155247         22        0x176
502       0x155247         22        0x176
503       0x155247         22        0x176
504       0x155247         22        0x176
505       0x155247         22        0x176
506       0x155247         22        0x176
507       0x155247         22        0x176
508       0x155247         22        0x176
509       0x155247         22        0x176
510       0x155247         22        0x176
511       0x155247         22        0x176
